quarter,id,name,managed_by_agency,format,page_views,downloads,api_query,subscriptions
2025-Q3,d_acde1106003906a75c3fa052592f2fcb,Government Procurement via GeBIZ,Ministry of Finance,CSV,59339,628,11644,32
2025-Q3,d_8b84c4ee58e3cfc0ece0d773c8ca6abc,Resale flat prices based on registration date from Jan-2017 onwards,Housing & Development Board,CSV,47907,7206,626289,52
2025-Q3,d_bda4baa634dd1cc7a6c7cad5f19e2d68,Dates of Hawker Centres Closure,National Environment Agency,CSV,40993,637,28804,15
2025-Q3,d_07c63be0f37e6e59c07a4ddc2fd87fcb,CEA Salesperson Information,Council For Estate Agencies,CSV,36507,1883,484507,30
2025-Q3,d_90d86daa5bfaa371668b84fa5f01424f,Master Plan 2019 Land Use layer,Urban Redevelopment Authority,GEOJSON,964,3802,3,2
2025-Q3,d_11e68bba3b3c76733475a72d09759eeb,Number of COVID-19 infections by Epi-week,Ministry of Health,CSV,35067,343,387,2
2025-Q4,d_149b61ad0a22f61c09dc80f2df5bbec8,Public Holidays for 2026,Ministry of Manpower,CSV,27402,589,21414,14
2025-Q4,d_8b84c4ee58e3cfc0ece0d773c8ca6abc,Resale flat prices based on registration date from Jan-2017 onwards,Housing & Development Board,CSV,27059,6388,858955,57
2025-Q4,d_acde1106003906a75c3fa052592f2fcb,Government Procurement via GeBIZ,Ministry of Finance,CSV,23558,763,1599,36
2025-Q3,d_16b157c52ed637edd6ba1232e026258d,HDB Existing Building,Housing & Development Board,GEOJSON,389,1785,5,3
2025-Q3,d_77d7ec97be83d44f61b85454f844382f,NParks Parks and Nature Reserves,National Parks Board,GEOJSON,387,1778,2,0
2025-Q3,d_0f2f47515425404e6c9d2a040dd87354,Tourist Attractions,Singapore Tourism Board,GEOJSON,615,1686,3,2
2025-Q3,d_4765db0e87b9c86336792efe8a1f7a66,Master Plan 2019 Planning Area Boundary (No Sea),Urban Redevelopment Authority,GEOJSON,770,1679,7,1
2025-Q4,d_c9f57187485a850908655db0e8cfe651,Renting Out of Flats from Jan 2021,Housing & Development Board,CSV,23455,271,281924,15
2025-Q4,d_07c63be0f37e6e59c07a4ddc2fd87fcb,CEA Salesperson Information,Council For Estate Agencies,CSV,22880,16683,480521,29
2025-Q4,d_bda4baa634dd1cc7a6c7cad5f19e2d68,Dates of Hawker Centres Closure,National Environment Agency,CSV,21709,578,31945,16
2025-Q3,d_b39d3a0871985372d7e1637193335da5,LTA MRT Station Exit (GEOJSON),Land Transport Authority,GEOJSON,828,1470,5,5
2025-Q3,d_8594ae9ff96d0c708bc2af633048edfb,Master Plan 2019 Subzone Boundary (No Sea) (GEOJSON),Urban Redevelopment Authority,GEOJSON,1168,1448,4,0
2025-Q3,d_ce2eb1e307bda31993c533285834ef2b,24-hour Weather Forecast,National Environment Agency,API,33402,545,223810876,9
2025-Q3,d_c9f57187485a850908655db0e8cfe651,Renting Out of Flats from Jan 2021,Housing & Development Board,CSV,19989,379,46735,14
2025-Q3,d_69b3380ad7e51aff3a7dcc84eba52b8a,COE Bidding Results / Prices,Land Transport Authority,CSV,18280,992,55111,12
2025-Q3,d_61eefab99958fd70e6aab17320a71f1c,Pre-Schools Location,Early Childhood Development Agency,GEOJSON,331,1334,5,1
2025-Q4,d_69b3380ad7e51aff3a7dcc84eba52b8a,COE Bidding Results / Prices,Land Transport Authority,CSV,14660,1123,56782,15
2025-Q4,d_ce2eb1e307bda31993c533285834ef2b,24-hour Weather Forecast,National Environment Agency,API,11070,107,204013636,6
2025-Q3,d_e81ea2337599b674c4f645c1af93e0dc,Muslim Prayer Timetable 2025,Majlis Ugama Islam Singapura,CSV,13339,102,39147,10
2025-Q4,d_3c55210de27fcccda2ed0c63fdd2b352,"Graduate Employment Survey - NTU, NUS, SIT, SMU, SUSS & SUTD",Ministry of Education,CSV,9400,1296,4027,10
2025-Q3,d_3c55210de27fcccda2ed0c63fdd2b352,"Graduate Employment Survey - NTU, NUS, SIT, SMU, SUSS & SUTD",Ministry of Education,CSV,12164,1485,1729,9
2025-Q3,d_9b87bab59d036a60fad2a91530e10773,SportSG Sport Facilities (GEOJSON),Sport Singapore,GEOJSON,196,1034,1,0
2025-Q3,d_b3ae090692ecf632116c9885cfbd3424,Gyms@SG (GEOJSON),Health Promotion Board,GEOJSON,122,1033,12,1
2025-Q4,d_11e68bba3b3c76733475a72d09759eeb,Number of COVID-19 infections by Epi-week,Ministry of Health,CSV,9311,58,551,0
2025-Q4,d_4dde14826642f49eefff48b7832b90db,Recycling Bins,National Environment Agency,GEOJSON,8644,280,10,0
2025-Q3,d_8f468b25193f64be8a16fa7d8f60f553,Cycling Path Network (GEOJSON),Land Transport Authority,GEOJSON,214,993,2,2
2025-Q3,d_02aa4bb51bc674f3a2d0b9bb6911d934,Number of Resale Applications Registered by Flat Type,Housing & Development Board,CSV,9022,20,192,3
2025-Q4,d_02aa4bb51bc674f3a2d0b9bb6911d934,Number of Resale Applications Registered by Flat Type,Housing & Development Board,CSV,7813,33,271,2
2025-Q3,d_149b61ad0a22f61c09dc80f2df5bbec8,Public Holidays for 2026,Ministry of Manpower,CSV,7692,159,12606,14
2025-Q3,d_b16d06b83473fdfcc92ed9d37b66ba58,Rainfall - Monthly Total,National Environment Agency,CSV,7445,221,138,2
2025-Q4,d_3f960c10fed6145404ca7b821f263b87,Entities Registered with ACRA,Accounting and Corporate Regulatory Authority,CSV,6959,950,2002046,61
2025-Q4,d_3751791452397f1b1c80c451447e40b7,Public Holidays for 2025,Ministry of Manpower,CSV,6666,151,38692,11
2025-Q3,d_ca109de3e83efdd9a10bc5f3dda70a98,LTA Lamp Post,Land Transport Authority,GEOJSON,953,901,0,0
2025-Q3,d_18bcfe0a1b8c77f9b4493cef72ffd717,Coastal and Marine Habitat Map of Singapore 2018,National Parks Board,GEOJSON,493,885,0,0
2025-Q4,d_e1058d6974c877257e32048ab128ad83,PM2.5,National Environment Agency,API,6631,90,6284420,2
2025-Q3,d_dad4567fc02596774010f765567780e3,"Renting Out of Flat Approvals by Flat Type, Quarterly",Housing & Development Board,CSV,5746,5,110,1
2025-Q4,d_23f946fa557947f93a8043bbef41dd09,HDB Carpark Information,Housing & Development Board,CSV,5553,632,29438,9
2025-Q3,d_222bfc84eb86c7c11994d02f8939da8d,Master Plan 2019 Rail Line layer,Urban Redevelopment Authority,GEOJSON,105,763,2,0
2025-Q3,d_3751791452397f1b1c80c451447e40b7,Public Holidays for 2025,Ministry of Manpower,CSV,5454,186,20116,12
2025-Q3,d_e8e3249d4433845bdd8034ae44329d9e,Master Plan 2019 Building layer,Urban Redevelopment Authority,GEOJSON,181,760,0,2
2025-Q3,d_634194a40f36e5bc11a942ab0164fa9d,"Average Monthly Household Electricity Consumption by URA Planning Area & Dwelling Type, 2009",Energy Market Authority,GEOJSON,218,728,1,0
2025-Q3,d_7ddf956dfc1c59080bf95bba1c58a5d2,Electoral Boundary 2025 (GEOJSON),Elections Department,GEOJSON,624,711,0,1
2025-Q3,d_e1058d6974c877257e32048ab128ad83,PM2.5,National Environment Agency,API,5359,511,6227253,2
2025-Q3,d_15457a8f67905fb6ed890fca2ebac5f7,"Prohibited Drone flying areas at NParks Nature Reserves, Nature Parks and Gardens",National Parks Board,GEOJSON,365,683,0,1
2025-Q4,d_dad4567fc02596774010f765567780e3,"Renting Out of Flat Approvals by Flat Type, Quarterly",Housing & Development Board,CSV,4831,7,114,1
2025-Q3,d_4dde14826642f49eefff48b7832b90db,Recycling Bins,National Environment Agency,GEOJSON,4721,324,1,0
2025-Q4,d_2eceeb792a0fca1caa74304d47b46060,"Volume of NEWater sold, Annual","PUB, Singapore's national water agency",CSV,4711,16,327,0
2025-Q4,d_688b934f82c1059ed0a6993d2a829089,General information of schools,Ministry of Education,CSV,4695,689,19835,15
2025-Q3,d_23f946fa557947f93a8043bbef41dd09,HDB Carpark Information,Housing & Development Board,CSV,4678,618,8543,9
2025-Q4,d_d0fa8f07ef80ab23feaa3b870323bf27,Designated Smoking Areas (GEOJSON),National Environment Agency,GEOJSON,4624,533,1,1
2025-Q3,d_2eceeb792a0fca1caa74304d47b46060,"Volume of NEWater sold, Annual","PUB, Singapore's national water agency",CSV,4583,7,192,0
2025-Q4,d_e8934d28896a1eceecfe86f42dd3c077,AED Locations,Singapore Civil Defence Force,CSV,4617,432,1089,1
2025-Q3,d_654e22f14e5bb817423f0e0c9ac4f632,Hotels,Hotels Licensing Board,GEOJSON,123,616,4,0
2025-Q4,d_c4bd082b48fa7611713f39e23d250c27,Green Mark Buildings,Building and Construction Authority,CSV,4446,352,405,8
2025-Q3,d_c92edf841336f03ab51c6693ac8d33ad,Surface Air Temperature - Monthly Mean Daily Minimum,National Environment Agency,CSV,4442,14,192,0
2025-Q4,d_c92edf841336f03ab51c6693ac8d33ad,Surface Air Temperature - Monthly Mean Daily Minimum,National Environment Agency,CSV,4361,16,249,0
2025-Q3,d_52b9eabe398353bd6acd9aee15b13f72,Tree Conservation Area,National Parks Board,GEOJSON,1031,580,0,0
